 

stn;time;rre150h0
EVO;2023080309;0.0
EVO;2023080310;0.0
EVO;2023080311;0.0
EVO;2023080312;0.0
EVO;2023080313;0.0
EVO;2023080314;0.0
EVO;2023080315;0.0
EVO;2023080316;0.0
EVO;2023080317;0.0
EVO;2023080318;0.0
EVO;2023080319;0.0
EVO;2023080320;0.0
EVO;2023080321;0.0
EVO;2023080322;0.0
EVO;2023080323;0.0
EVO;2023080400;0.0
EVO;2023080401;0.0
EVO;2023080402;0.0
EVO;2023080403;0.0
EVO;2023080404;0.0
EVO;2023080405;0.0
EVO;2023080406;0.0
EVO;2023080407;0.0
EVO;2023080408;0.0
EVO;2023080409;0.0
EVO;2023080410;0.0
EVO;2023080411;0.0
EVO;2023080412;0.0
EVO;2023080413;1.0
EVO;2023080414;0.0
EVO;2023080415;0.0
EVO;2023080416;0.0
EVO;2023080417;0.4
EVO;2023080418;0.3
EVO;2023080419;1.0
EVO;2023080420;0.2
EVO;2023080421;0.0
EVO;2023080422;0.0
EVO;2023080423;0.1
EVO;2023080500;0.5
EVO;2023080501;0.2
EVO;2023080502;0.0
EVO;2023080503;0.0
EVO;2023080504;0.0
EVO;2023080505;0.0
EVO;2023080506;0.0
EVO;2023080507;0.0
EVO;2023080508;0.0
EVO;2023080509;0.0
EVO;2023080510;0.0
EVO;2023080511;0.0
EVO;2023080512;0.0
EVO;2023080513;0.0
EVO;2023080514;0.0
EVO;2023080515;0.0
EVO;2023080516;0.0
EVO;2023080517;0.0
EVO;2023080518;0.0
EVO;2023080519;0.0
EVO;2023080520;0.0
EVO;2023080521;0.2
EVO;2023080522;0.1
EVO;2023080523;0.0
EVO;2023080600;0.0
EVO;2023080601;0.0
EVO;2023080602;0.0
EVO;2023080603;0.0
EVO;2023080604;0.0
EVO;2023080605;0.0
EVO;2023080606;0.0
EVO;2023080607;0.0
EVO;2023080608;0.0
EVO;2023080609;0.0
EVO;2023080610;0.0
EVO;2023080611;0.0
EVO;2023080612;0.0
EVO;2023080613;0.0
EVO;2023080614;0.0
EVO;2023080615;0.0
EVO;2023080616;0.0
EVO;2023080617;0.0
EVO;2023080618;0.1
EVO;2023080619;0.0
EVO;2023080620;0.0
EVO;2023080621;0.1
EVO;2023080622;0.4
EVO;2023080623;1.5
EVO;2023080700;0.1
EVO;2023080701;0.0
EVO;2023080702;0.0
EVO;2023080703;0.0
EVO;2023080704;0.0
EVO;2023080705;0.0
EVO;2023080706;0.0
EVO;2023080707;0.0
EVO;2023080708;0.0
EVO;2023080709;0.0
EVO;2023080710;0.0
EVO;2023080711;0.0
EVO;2023080712;0.0
EVO;2023080713;0.0
EVO;2023080714;0.0
EVO;2023080715;0.0
EVO;2023080716;0.0
EVO;2023080717;0.0
EVO;2023080718;0.0
EVO;2023080719;0.0
EVO;2023080720;0.0
EVO;2023080721;0.0
EVO;2023080722;0.0
EVO;2023080723;0.0
EVO;2023080800;0.0
EVO;2023080801;0.0
EVO;2023080802;0.0
EVO;2023080803;0.0
EVO;2023080804;0.0
EVO;2023080805;0.0
EVO;2023080806;0.0
EVO;2023080807;0.0
EVO;2023080808;0.0
EVO;2023080809;0.0
EVO;2023080810;0.0
EVO;2023080811;0.0
EVO;2023080812;0.0
EVO;2023080813;0.0
EVO;2023080814;0.0
EVO;2023080815;0.0
EVO;2023080816;0.0
EVO;2023080817;0.0
EVO;2023080818;0.0
EVO;2023080819;0.0
EVO;2023080820;0.0
EVO;2023080821;0.0
EVO;2023080822;0.0
EVO;2023080823;0.0
EVO;2023080900;0.0
EVO;2023080901;0.0
EVO;2023080902;0.0
EVO;2023080903;0.0
EVO;2023080904;0.0
EVO;2023080905;0.0
EVO;2023080906;0.0
EVO;2023080907;0.0
EVO;2023080908;0.0
EVO;2023080909;0.0
EVO;2023080910;0.0
EVO;2023080911;0.0
EVO;2023080912;0.0
EVO;2023080913;0.0
EVO;2023080914;0.0
EVO;2023080915;0.0
EVO;2023080916;0.0
EVO;2023080917;0.0
EVO;2023080918;0.0
EVO;2023080919;0.0
EVO;2023080920;0.0
EVO;2023080921;0.0
EVO;2023080922;0.0
EVO;2023080923;0.0
EVO;2023081000;0.0
EVO;2023081001;0.0
EVO;2023081002;0.0
EVO;2023081003;0.0
EVO;2023081004;0.0
EVO;2023081005;0.0
EVO;2023081006;0.0
EVO;2023081007;0.0
EVO;2023081008;0.0
EVO;2023081009;0.0
EVO;2023081010;0.0
EVO;2023081011;0.0
EVO;2023081012;0.0
EVO;2023081013;0.0
EVO;2023081014;0.0
EVO;2023081015;0.0
EVO;2023081016;0.0
EVO;2023081017;0.0
EVO;2023081018;0.0
EVO;2023081019;0.0
EVO;2023081020;0.0
EVO;2023081021;0.0
